A,1010,,2,ADJ,901,ABR,107,RNNinoperate,13498,ADJ,908
ADV,516,ADJ,908,ADP,1882,ADJ,876,,,ADP,1878
C,455,ADP,1938,ADV,453,ADV,522,,,ADP+DET,436
CL,401,ADV,523,AUX,378,DET,1498,,,ADP+PRON,2
D,1874,AUX,457,CONJ,331,INT,1,,,ADV,505
ET,21,CCONJ,334,DET,1497,KON,482,,,AUX,374
I,1,DET,2065,INTJ,5,NAM,555,,,CCONJ,335
N,3523,NOUN,2841,NOUN,2614,NOM,2781,,,DET,1703
P,1890,NUM,349,NUM,355,NUM,338,,,NOUN,2818
P+D,437,PART,1,PART,56,PRO,742,,,NUM,278
PONCT,1583,PRON,625,PRON,505,PRP,2354,,,PART,1
PREF,11,PROPN,663,PROPN,784,PUN,939,,,PRON,609
PRO,228,PUNCT,1516,PUNCT,1441,SENT,486,,,PROPN,646
V,1548,SCONJ,141,SCONJ,86,SYM,30,,,PUNCT,1447
,,SPACE,557,SYM,30,VER,1574,,,SCONJ,129
,,VERB,1090,VERB,1264,,,,,SYM,1
,,X,5,X,127,,,,,VERB,1179
,,,,,,,,,,X,11
