Six,PRO,SPACE,PRO,NUM,RNNinoperate,PRON
d',P,PROPN,P,NOM,RNNinoperate,ADP
entre,P,NOUN,P,PUN,RNNinoperate,ADP
eux,PRO,PUNCT,PRO,PRP,RNNinoperate,PRON
",",PONCT,ADP,PUNC,PRO:PER,RNNinoperate,PUNCT
seulement,ADV,PRON,ADV,PUN,RNNinoperate,ADV
blessés,V,PUNCT,VPP,ADV,RNNinoperate,VERB
",",PONCT,ADV,PUNC,VER:pper,RNNinoperate,PUNCT
ont,V,NOUN,V,PUN,RNNinoperate,AUX
pu,V,PUNCT,VPP,VER:pres,RNNinoperate,AUX
se,CL,AUX,CLR,VER:pper,RNNinoperate,PRON
réfugier,V,AUX,VINF,PRO:PER,RNNinoperate,VERB
sur,P,PRON,P,VER:infi,RNNinoperate,ADP
l',D,VERB,DET,PRP,RNNinoperate,DET
autre,A,ADP,ADJ,NOM,RNNinoperate,ADJ
rive,N,NOUN,NC,PUN,RNNinoperate,NOUN
de,P,PUNCT,P,ADJ,RNNinoperate,ADP
la,D,ADJ,DET,NOM,RNNinoperate,DET
Nipoué,N,NOUN,NPP,PRP,RNNinoperate,PROPN
",",PONCT,ADP,PUNC,DET:ART,RNNinoperate,PUNCT
en,P,DET,P,NAM,RNNinoperate,ADP
Côte,N,PROPN,N,PUN,RNNinoperate,PROPN
-,PONCT,PUNCT,PUNC,PRP,RNNinoperate,PUNCT
d',P,ADP,P,NAM,RNNinoperate,ADP
Ivoire,N,PROPN,N,PUN,RNNinoperate,PROPN
",",PONCT,PUNCT,PUNC,NOM,RNNinoperate,PUNCT
avant,P,NOUN,P,PUN,RNNinoperate,ADV
d',P,PUNCT,P,NAM,RNNinoperate,ADP
être,V,PROPN,VINF,PUN,RNNinoperate,AUX
transférés,V,PUNCT,VPP,PRP,RNNinoperate,VERB
à,P,ADP,P,VER:infi,RNNinoperate,ADP
man,N,NOUN,NPP,PUN,RNNinoperate,PROPN
",",PONCT,PUNCT,PUNC,VER:infi,RNNinoperate,PUNCT
dans,P,AUX,P,VER:pper,RNNinoperate,ADP
un,D,VERB,DET,PRP,RNNinoperate,DET
hôpital,N,ADP,NC,NOM,RNNinoperate,NOUN
.,PONCT,ADV,PUNC,PUN,RNNinoperate,PUNCT
La,D,PUNCT,DET,PRP,RNNinoperate,DET
tâche,N,ADP,NC,DET:ART,RNNinoperate,NOUN
des,P+D,DET,P,NOM,RNNinoperate,ADP+DET
secouristes,N,NOUN,NC,SENT,RNNinoperate,NOUN
est,V,PUNCT,V,DET:ART,RNNinoperate,VERB
immense,A,DET,ADJ,NOM,RNNinoperate,ADJ
",",PONCT,NOUN,PUNC,PRP:det,RNNinoperate,PUNCT
faute,N,DET,N,NOM,RNNinoperate,NOUN
de,P,NOUN,P,VER:pres,RNNinoperate,ADP
moyens,N,AUX,NC,ADJ,RNNinoperate,NOUN
matériels,A,VERB,ADJ,PUN,RNNinoperate,ADJ
et,C,PUNCT,CC,NOM,RNNinoperate,CCONJ
humains,A,NOUN,ADJ,PRP,RNNinoperate,ADJ
.,PONCT,ADP,PUNC,NOM,RNNinoperate,PUNCT
À,P,NOUN,P,ADJ,RNNinoperate,ADP
Danané,N,ADJ,NPP,KON,RNNinoperate,PROPN
",",PONCT,CCONJ,PUNC,ADJ,RNNinoperate,PUNCT
le,D,ADJ,DET,SENT,RNNinoperate,DET
chef,N,PUNCT,NC,PRP,RNNinoperate,NOUN
du,P+D,ADP,P,NAM,RNNinoperate,ADP+DET
secteur,N,PROPN,NC,PUN,RNNinoperate,NOUN
de,P,PUNCT,P,DET:ART,RNNinoperate,ADP
santé,N,DET,NC,NOM,RNNinoperate,NOUN
rurale,A,NOUN,ADJ,PRP:det,RNNinoperate,ADJ
travaille,V,DET,V,NOM,RNNinoperate,VERB
en,P,NOUN,P,PRP,RNNinoperate,ADP
étroite,A,ADP,ADJ,NOM,RNNinoperate,ADJ
collaboration,N,NOUN,NC,ADJ,RNNinoperate,NOUN
avec,P,ADJ,P,VER:pres,RNNinoperate,ADP
une,D,VERB,DET,PRP,RNNinoperate,DET
équipe,N,ADP,NC,ADJ,RNNinoperate,NOUN
très,ADV,NOUN,ADV,NOM,RNNinoperate,ADV
réduite,A,NOUN,ADJ,PRP,RNNinoperate,VERB
de,P,ADP,P,DET:ART,RNNinoperate,ADP
médecins,N,DET,NC,NOM,RNNinoperate,NOUN
sans,P,NOUN,P,ADV,RNNinoperate,ADP
frontières,N,ADV,NC,VER:pper,RNNinoperate,NOUN
en,P,NOUN,P,PRP,RNNinoperate,ADP
attendant,V,ADP,VPR,NOM,RNNinoperate,VERB
le,D,NOUN,DET,PRP,RNNinoperate,DET
renfort,N,ADP,NC,ADJ,RNNinoperate,NOUN
imminent,A,NOUN,ADJ,PRP,RNNinoperate,ADJ
