A,45288,,165,ADJ,42127,ABR,3407,RNNinoperate,644595,ADJ,41316
ADV,27630,ADJ,42670,ADP,87953,ADJ,39992,,,ADP,88288
C,20189,ADP,92054,ADV,24196,ADV,28103,,,ADP+DET,20360
CL,16330,ADV,27706,AUX,17464,DET,71435,,,ADP+PRON,152
D,92728,AUX,21063,CONJ,13599,INT,74,,,ADV,27105
ET,2216,CCONJ,14238,DET,71336,KON,21103,,,AUX,16144
I,67,DET,97219,INTJ,377,NAM,31051,,,CCONJ,14178
N,164162,INTJ,11,NOUN,125485,NOM,132935,,,DET,81133
P,86889,NOUN,141561,NUM,23682,NUM,24364,,,INTJ,32
P+D,19481,NUM,22839,PART,2249,PRO,32312,,,NOUN,138215
P+PRO,104,PART,112,PRON,22543,PRP,108663,,,NUM,19596
PONCT,87077,PRON,27803,PROPN,38991,PUN,60330,,,PART,25
PREF,466,PROPN,28275,PUNCT,77991,SENT,22664,,,PRON,26581
PRO,11263,PUNCT,84678,SCONJ,5257,SYM,3813,,,PROPN,29790
V,70705,SCONJ,7067,SYM,4177,VER,73526,,,PUNCT,83739
,,SPACE,26777,VERB,58623,,,,,SCONJ,6907
,,VERB,50170,X,8940,,,,,SYM,109
,,X,752,,,,,,,VERB,55098
,,,,,,,,,,X,1163
